"xpeak" "sigma" "gamma" "height"
1362.13 3.00281 2.5 60.9971
1510.4 3.00281 2.5 58.6198
612.2 3.00281 2.5 56.6697
1311.62 3.00281 2.5 53.7736
774.54 3.00281 2.5 31.652
1503.19 3.00281 2.5 28.2205
1304.09 3.00281 2.5 26.2553
1354.68 3.00281 2.5 25.529
1183.85 3.00281 2.5 23.1553
401.84 3.00281 2.5 21.5303
1517.6 3.00281 2.5 20.146
570.8 3.00281 2.5 20.0339
1319.13 3.00281 2.5 18.5493
1197.36 3.00281 2.5 17.5406
1367.71 3.00281 2.5 16.4356
1648.68 3.00281 2.5 15.5318
768.23 3.00281 2.5 14.9733
616.54 3.00281 2.5 14.4335
1292.77 3.00281 2.5 12.935
453.54 3.00281 2.5 10.8133
607.86 3.00281 2.5 10.3784
1176.11 3.00281 2.5 10.251
408.61 3.00281 2.5 10.1379
780.84 3.00281 2.5 9.56593
1125.49 3.00281 2.5 8.73641
636.02 3.00281 2.5 8.57749
1530.16 3.00281 2.5 8.32406
1191.57 3.00281 2.5 8.19344
659.73 3.00281 2.5 8.10358
1495.97 3.00281 2.5 7.94008
1572.98 3.00281 2.5 7.42342
564.23 3.00281 2.5 7.36829
1205.06 3.00281 2.5 7.31093
1345.35 3.00281 2.5 7.15679
526.86 3.00281 2.5 6.53123
1285.21 3.00281 2.5 6.50738
1604.83 3.00281 2.5 6.49982
462.49 3.00281 2.5 6.3246
1270.05 3.00281 2.5 6.10408
1088.16 3.00281 2.5 5.87002
1653.91 3.00281 2.5 5.48685
446.83 3.00281 2.5 5.05783
1382.55 3.00281 2.5 4.95732
1012.62 3.00281 2.5 4.91646
1562.32 3.00281 2.5 4.79015
1641.69 3.00281 2.5 4.53514
518.03 3.00281 2.5 4.11542
1133.31 3.00281 2.5 4.02188
1537.33 3.00281 2.5 3.98009
548.88 3.00281 2.5 3.87317
1596 3.00281 2.5 3.77974
826.82 3.00281 2.5 3.69972
1298.43 3.00281 2.5 3.56369
1488.74 3.00281 2.5 3.42694
1117.66 3.00281 2.5 3.33811
413.12 3.00281 2.5 3.31056
702.55 3.00281 2.5 3.28089
1044.57 3.00281 2.5 3.26867
575.17 3.00281 2.5 3.21785
1580.08 3.00281 2.5 3.18131
853.8 3.00281 2.5 3.14406
1548.05 3.00281 2.5 3.12987
1611.87 3.00281 2.5 3.04217
1356.54 3.00281 2.5 3.03797
1262.45 3.00281 2.5 3.0203
1317.26 3.00281 2.5 2.85022
533.48 3.00281 2.5 2.83212
1277.63 3.00281 2.5 2.81349
1369.57 3.00281 2.5 2.6106
471.41 3.00281 2.5 2.54167
725.95 3.00281 2.5 2.51583
1472.42 3.00281 2.5 2.39603
1326.64 3.00281 2.5 2.37628
1515.8 3.00281 2.5 2.36704
764.02 3.00281 2.5 2.34179
1094.07 3.00281 2.5 2.29695
799.7 3.00281 2.5 2.28782
1445.1 3.00281 2.5 2.23464
1006.6 3.00281 2.5 2.2017
818.49 3.00281 2.5 2.16729
588.27 3.00281 2.5 2.05232
511.39 3.00281 2.5 1.97269
905.26 3.00281 2.5 1.95288
664.03 3.00281 2.5 1.93358
835.14 3.00281 2.5 1.93156
880.62 3.00281 2.5 1.90725
1524.78 3.00281 2.5 1.76211
1435.96 3.00281 2.5 1.74958
1555.19 3.00281 2.5 1.70243
1631.19 3.00281 2.5 1.69563
1178.04 3.00281 2.5 1.66319
862.07 3.00281 2.5 1.66029
1811.37 3.00281 2.5 1.6413
1707.61 3.00281 2.5 1.55532
1018.63 3.00281 2.5 1.52754
1481.49 3.00281 2.5 1.46525
440.1 3.00281 2.5 1.46018
1203.14 3.00281 2.5 1.45767
915.49 3.00281 2.5 1.42714
1721.36 3.00281 2.5 1.42544
845.51 3.00281 2.5 1.38133
1082.24 3.00281 2.5 1.37271
1454.23 3.00281 2.5 1.34791
892.96 3.00281 2.5 1.3402
1305.97 3.00281 2.5 1.33777
782.94 3.00281 2.5 1.3375
1849.84 3.00281 2.5 1.31747
1038.6 3.00281 2.5 1.31308
605.69 3.00281 2.5 1.29125
1504.99 3.00281 2.5 1.25935
655.42 3.00281 2.5 1.25102
1052.52 3.00281 2.5 1.22176
1189.64 3.00281 2.5 1.21942
1567.65 3.00281 2.5 1.21675
1755.55 3.00281 2.5 1.20845
1950.19 3.00281 2.5 1.17111
1907.72 3.00281 2.5 1.14857
1736.78 3.00281 2.5 1.1477
1831.49 3.00281 2.5 1.11645
1929.01 3.00281 2.5 1.1082
1465.15 3.00281 2.5 1.09573
810.15 3.00281 2.5 1.09076
1871.43 3.00281 2.5 1.07979
736.56 3.00281 2.5 1.07236
1256.74 3.00281 2.5 1.06162
553.27 3.00281 2.5 1.05185
1339.75 3.00281 2.5 1.03742
